id,account_id,status,created_at,updated_at
107,82,completed,2012-06-29 06:44:54,2012-06-29 06:44:54
108,82,completed,2012-06-29 06:45:17,2012-06-29 06:45:17
109,82,completed,2012-06-29 06:46:49,2012-06-29 06:46:49
110,83,completed,2012-06-29 06:46:49,2012-06-29 06:46:49
111,81,completed,2012-06-29 08:06:47,2012-06-29 08:06:47
112,81,completed,2012-06-29 08:07:48,2012-06-29 08:07:48
113,83,completed,2012-06-29 08:07:48,2012-06-29 08:07:48
114,81,completed,2012-06-29 08:11:31,2012-06-29 08:11:31
115,81,completed,2012-06-29 08:11:36,2012-06-29 08:11:36
116,81,completed,2012-06-29 08:11:41,2012-06-29 08:11:41
117,81,completed,2012-06-29 08:11:46,2012-06-29 08:11:46
118,81,completed,2012-06-29 08:11:51,2012-06-29 08:11:51
119,81,completed,2012-06-29 08:12:28,2012-06-29 08:12:28
120,81,completed,2012-06-29 08:12:32,2012-06-29 08:12:32
121,81,completed,2012-06-29 08:12:37,2012-06-29 08:12:37
122,81,completed,2012-06-29 08:12:42,2012-06-29 08:12:42
123,81,completed,2012-06-29 08:12:47,2012-06-29 08:12:47
124,81,completed,2012-06-29 08:12:52,2012-06-29 08:12:52
125,81,completed,2012-06-29 08:15:22,2012-06-29 08:15:22
126,81,completed,2012-06-29 08:16:17,2012-06-29 08:16:17
127,81,completed,2012-06-29 08:17:22,2012-06-29 08:17:22
128,84,completed,2012-07-01 20:55:22,2012-07-01 20:55:22
129,84,completed,2012-07-01 20:56:24,2012-07-01 20:56:24
130,79,completed,2012-07-01 20:56:24,2012-07-01 20:56:24
131,84,completed,2012-07-01 20:56:38,2012-07-01 20:56:38
132,84,completed,2012-07-01 20:56:43,2012-07-01 20:56:43
133,79,completed,2012-07-01 21:30:35,2012-07-01 21:30:35
134,81,completed,2012-07-01 21:30:35,2012-07-01 21:30:35
135,79,completed,2012-07-01 21:33:00,2012-07-01 21:33:00
136,81,completed,2012-07-01 21:33:00,2012-07-01 21:33:00
137,79,completed,2012-07-01 21:36:58,2012-07-01 21:36:58
138,81,completed,2012-07-01 21:36:58,2012-07-01 21:36:58
139,85,completed,2012-07-01 21:49:34,2012-07-01 21:49:34
140,85,completed,2012-07-01 21:49:49,2012-07-01 21:49:49
141,85,completed,2012-07-01 21:50:15,2012-07-01 21:50:15
142,85,completed,2012-07-01 21:50:44,2012-07-01 21:50:44
143,86,completed,2012-07-01 22:00:28,2012-07-01 22:00:28
144,86,completed,2012-07-01 22:00:39,2012-07-01 22:00:39
145,86,completed,2012-07-01 22:00:50,2012-07-01 22:00:50
146,86,completed,2012-07-01 22:01:06,2012-07-01 22:01:06
147,86,completed,2012-07-01 22:01:17,2012-07-01 22:01:17
148,85,completed,2012-07-01 22:11:20,2012-07-01 22:11:20
149,86,completed,2012-07-01 22:16:35,2012-07-01 22:16:35
150,85,completed,2012-07-01 22:16:35,2012-07-01 22:16:35
151,85,completed,2012-07-01 22:17:21,2012-07-01 22:17:21
152,86,completed,2012-07-01 22:17:21,2012-07-01 22:17:21
153,82,completed,2012-07-01 22:30:09,2012-07-01 22:30:09
154,87,completed,2012-07-01 22:30:09,2012-07-01 22:30:09
155,82,completed,2012-07-01 22:31:01,2012-07-01 22:31:01
156,86,completed,2012-07-01 22:47:09,2012-07-01 22:47:09
157,86,completed,2012-07-01 22:47:14,2012-07-01 22:47:14
158,86,completed,2012-07-01 22:47:19,2012-07-01 22:47:19
159,86,completed,2012-07-01 22:47:24,2012-07-01 22:47:24
160,86,completed,2012-07-01 22:47:29,2012-07-01 22:47:29
161,86,completed,2012-07-01 22:47:34,2012-07-01 22:47:34
162,86,completed,2012-07-01 22:47:39,2012-07-01 22:47:39
163,86,completed,2012-07-01 22:47:44,2012-07-01 22:47:44
164,86,completed,2012-07-01 22:47:49,2012-07-01 22:47:49
165,86,completed,2012-07-01 22:47:54,2012-07-01 22:47:54
166,86,completed,2012-07-01 22:48:00,2012-07-01 22:48:00
167,86,completed,2012-07-01 22:48:20,2012-07-01 22:48:20
168,86,completed,2012-07-01 22:58:57,2012-07-01 22:58:57
169,86,completed,2012-07-01 22:59:08,2012-07-01 22:59:08
170,86,completed,2012-07-01 23:14:49,2012-07-01 23:14:49
171,82,completed,2012-07-01 23:14:49,2012-07-01 23:14:49
172,86,completed,2012-07-01 23:37:41,2012-07-01 23:37:41
173,86,completed,2012-07-01 23:37:43,2012-07-01 23:37:43
174,86,completed,2012-07-02 00:04:12,2012-07-02 00:04:12
175,86,completed,2012-07-02 00:04:14,2012-07-02 00:04:14
176,86,completed,2012-07-02 00:04:39,2012-07-02 00:04:39
177,86,completed,2012-07-02 00:04:39,2012-07-02 00:04:39
178,86,completed,2012-07-02 00:04:41,2012-07-02 00:04:41
179,86,completed,2012-07-02 00:04:43,2012-07-02 00:04:43
180,86,completed,2012-07-02 00:06:28,2012-07-02 00:06:28
181,86,completed,2012-07-02 00:06:30,2012-07-02 00:06:30
182,82,completed,2012-07-02 00:08:25,2012-07-02 00:08:25
